Folder Name,decisionDirection,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_p_0.7,1.0,0.564739067264348,0.2812881115164121,0.252663409623622,0.6521482713349903,0.7050905207186254,0.718888912954976,0.6188132314659363,0.73565302201374,0.6872223482154122,0.6901443786625162
top_p_0.7,2.0,0.5557140972671861,0.2757166866642853,0.2474758872589944,0.6477945359129654,0.6986788279131839,0.6831067252792651,0.6109602614853604,0.733148251988901,0.6565429397450602,0.6709395446246467
top_p_0.6,1.0,0.5628965311796577,0.2794121839991516,0.2510963568337907,0.6519692626618246,0.7073705762852239,0.7064697962581711,0.61764311848034,0.7404824175148554,0.6764506783400298,0.6852615026483491
top_p_0.6,2.0,0.5519169164400468,0.2755791965325911,0.2457637137599458,0.6468190090698108,0.6956763912711227,0.6776197656335967,0.6128344492843274,0.7380307059937883,0.6535530789656178,0.6705094999693325
top_p_0.1,1.0,0.5506092857063648,0.272747697309404,0.2476736673207688,0.6505609869046975,0.7044092902472912,0.6940570369093015,0.6209738738724941,0.7293331711758247,0.6575037445204159,0.6754669566195091
top_p_0.1,2.0,0.5547205083212373,0.274976460134362,0.2468347108526212,0.6461457639409784,0.6966538276588707,0.6875781826087782,0.610954702837148,0.7364400601214811,0.6575920419534268,0.6731412468802086
top_p_0.3,1.0,0.5546073567514791,0.2766634150212583,0.2493639740433672,0.6511381031902692,0.7037704018236116,0.6951837165869718,0.6201497526371985,0.7337963689079364,0.661303069067599,0.6776082267999264
top_p_0.3,2.0,0.5537891260307567,0.2742360192327985,0.247071435316609,0.6453987843111941,0.6952385061665585,0.7036939550893726,0.6105773352176536,0.7294562017987868,0.6771291258214008,0.6802141544818034
top_p_0.5,1.0,0.5516887373239537,0.2733725891597403,0.2480933639222508,0.6511953072693512,0.7018337777552713,0.6941155771549196,0.6243599498362348,0.7330204108133727,0.6614423360041459,0.6782345684521682
top_p_0.5,2.0,0.5511726238008546,0.2728404948484281,0.2442763776453936,0.6464788629297624,0.6978099633727157,0.692506671073341,0.6145402282219145,0.7329408940121316,0.6683292396394617,0.6770792582367121
top_p_0.9,1.0,0.5618519211942052,0.2764834849076197,0.2491688807368653,0.652003166102271,0.7034265467228781,0.6979264183645628,0.6174464498285922,0.7295442710399217,0.6764429757468099,0.6803400287449718
top_p_0.9,2.0,0.5483964684822924,0.2726769480831236,0.2465353443695454,0.6472581524597971,0.6999836181339465,0.7254015123702534,0.6183091600972269,0.7308542020067167,0.6926206612904114,0.6917963839411522
