Model Name,voteDistribution,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_2000,0.5555555555555556,0.5357189860286118,0.2597934634899613,0.2324566913403688,0.6449974359722312,0.7033319722074981,0.7473255854929185,0.5946176768775169,0.7340204524536744,0.7378873348121493,0.7034627624090648
top_k_2000,0.5714285714285714,0.5122872869122161,0.2236947817635999,0.2021844959205659,0.6511389911174774,0.6931807696819305,0.8749086076287492,0.6112162446424068,0.8043720817417381,0.871119954694053,0.7904042221767368
top_k_2000,0.625,0.5423850858902312,0.2649879829080638,0.2379191334562218,0.6439867854118347,0.7324010640382767,0.6899626641158164,0.6524944780352464,0.770651811038851,0.6565398233228412,0.6924121941281888
top_k_2000,0.6666666666666666,0.5589508216470274,0.270324663916378,0.240079788876539,0.6451277754523538,0.7102287411689758,0.7125619946569236,0.6196038551133103,0.7371818255970145,0.6833168985374518,0.688166143476175
top_k_2000,0.7142857142857143,0.6271293375394322,0.3158559696778269,0.2498422712933753,0.6586385369300842,0.6321687698364258,0.9066358028773096,0.6552057027537566,0.7938996113080973,0.8838477207055656,0.8098972094111823
top_k_2000,0.75,0.5672690759939573,0.2831853300543372,0.2560595715491332,0.6520712306866279,0.7036431821493002,0.6790126798922246,0.5912253502182712,0.7008811513691111,0.6764235737880788,0.6618856888169214
top_k_2000,0.7777777777777778,0.5487226767550853,0.2714520160879025,0.2453587915452228,0.6480443823337555,0.6880635631084442,0.6804077300989972,0.5941183367684995,0.7342909704520291,0.6698313693390112,0.6696621016646342
top_k_2000,0.875,0.5466427052186167,0.2594118403465776,0.2333491534827824,0.6353669404983521,0.6973203182220459,0.7573653985699433,0.6219296912381846,0.7686845434208137,0.7178697707317189,0.7164623509901652
top_k_2000,0.8888888888888888,0.5575987660596768,0.2723990969611143,0.2504981666651732,0.6517187844623219,0.7049392371466665,0.6917541141732937,0.6175190697075892,0.7142724835771406,0.6839130837567804,0.676864687803701
top_k_2000,1.0,0.5695944483283154,0.2842706763940275,0.2577478725245277,0.6539426228757632,0.6904481495335951,0.6927828052425292,0.6248348312184274,0.7254518535382638,0.6638580893087729,0.6767318948269984
liberal,0.5555555555555556,0.5464884039621087,0.2612700280233376,0.2253765089600571,0.6391052127978124,0.6840017552769512,0.7269807213341488,0.5826623162274807,0.7178860021965059,0.7107303851860766,0.684564856236053
liberal,0.5714285714285714,0.507790813926135,0.2087799241958418,0.1874911785462243,0.6086768507957458,0.6754440069198608,0.81152450917901,0.5681212334653796,0.7401648680676256,0.8134489800704032,0.7333148976956045
liberal,0.625,0.5649989643164361,0.2741704214591897,0.2344865428208771,0.6382273644208908,0.7055409908294678,0.6188426021526713,0.6181942169746246,0.7257613477126075,0.6049249566676383,0.6419307808768855
liberal,0.6666666666666666,0.5810642587291877,0.2782389458000187,0.2323587114411368,0.6345922459255565,0.686543904651295,0.7527791721658317,0.5857452490950417,0.7100836304190051,0.7329814257433482,0.6953973693558066
liberal,0.7142857142857143,0.5962962962962963,0.2669962917181706,0.2333333333333333,0.6787146925926208,0.6726893186569214,0.8867538780010198,0.489292224279768,0.6813885546730755,0.8639304227206084,0.730341269918618
liberal,0.75,0.5616858790885149,0.2677370284384203,0.2325578161062974,0.6455162534346948,0.6814405024051666,0.7349790717317444,0.5764662002848747,0.692543122202903,0.729622745979606,0.683402785049782
liberal,0.7777777777777778,0.5535586972605888,0.2679063779742012,0.2300894406673977,0.6439887535572052,0.6691489624977112,0.6853761510934622,0.5726065324062796,0.7031535968514988,0.6730816755457643,0.6585544889742512
liberal,0.875,0.5576498701596045,0.2640494623977616,0.2342601261477439,0.6341938455899556,0.6824535131454468,0.6516146036241073,0.63291093508956,0.7296905436734793,0.629551270919085,0.6609418383265578
liberal,0.8888888888888888,0.567698092819143,0.279272022639614,0.2452868755551014,0.6500175938461766,0.6861081719398499,0.5600876317277632,0.6151284171178973,0.7055631424757883,0.5655337046809262,0.6115782240005938
liberal,1.0,0.57650032263786,0.2864243400158068,0.2466052504402213,0.6448383333824449,0.6732449665413065,0.6652075207021693,0.6037962742862835,0.698646159121139,0.6500836040480114,0.6544333895394008
mixed_conservative_75,0.5555555555555556,0.5470713985353767,0.263570162007423,0.2271489445023304,0.6396433426699507,0.6975806809346611,0.7676586885516679,0.5920240588267087,0.726497622652815,0.7500597573725212,0.7090600318509283
mixed_conservative_75,0.5714285714285714,0.5081868008690283,0.2338882391672122,0.2032210205347785,0.6389532387256622,0.7373447120189667,0.6466908102850557,0.6032754990490786,0.7125013198464331,0.7131843740707925,0.66891300081284
mixed_conservative_75,0.625,0.5597801967794712,0.2663291847080566,0.2344413644193617,0.6370371252298355,0.6952116787433624,0.7114361675010988,0.6441248433628826,0.7322074225420101,0.6907403049518929,0.6946271845894711
