Model Name,issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_25,1.0,0.5675504011644417,0.2783261109763006,0.2490496509295561,0.6520799320477706,0.699698977286999,0.7307976393159131,0.6212540649956017,0.7243332692824445,0.6814400026235409,0.689456244054375
top_k_25,2.0,0.534109314106399,0.2650329006513966,0.238927304438082,0.6461674610773722,0.6991430222988129,0.7643240793355577,0.6066397337424964,0.7444334467231977,0.7157886263441965,0.707796471536362
top_k_25,3.0,0.5534187791496408,0.2798825661859386,0.2494244736196743,0.6384340107440949,0.7158484280109405,0.7446105241517071,0.5825282438896067,0.7298145084616711,0.7190822061012967,0.6940088706510703
top_k_25,4.0,0.5402852749648103,0.2675447092060796,0.2338907386359171,0.6377135276794433,0.7075455546379089,0.7202272732473529,0.6294756014137652,0.7231113397078859,0.6737409006685617,0.6866387787593915
top_k_25,5.0,0.5200607228090424,0.2438636031647349,0.2289589770735289,0.6493965923786164,0.696175491809845,0.6606594237407147,0.6014427866695882,0.7410441146866307,0.6112482929129539,0.6535986545024719
top_k_25,6.0,0.586843019067442,0.2827257844421319,0.2500989027919896,0.6572481261359321,0.7049383587307401,0.5935290462612282,0.6447121148304314,0.7457803401363212,0.581867704388596,0.6414723014041441
top_k_25,7.0,0.5436478774070292,0.2624857006977065,0.2383443915180922,0.6350875539439065,0.7060372105666569,0.6591906975480553,0.5969022017817901,0.7196776431153706,0.6194785649125991,0.6488122768394537
top_k_25,8.0,0.5617189615073974,0.2769355328330339,0.2504927156918121,0.6481844830340233,0.6960266461406929,0.7072541386650318,0.6242214463457388,0.7293223737856716,0.683706895599799,0.6861262135990603
top_k_25,9.0,0.5825833152606056,0.2949903231832008,0.2627041890593263,0.6604091301560402,0.6853224579244852,0.7680379432981352,0.6154598453605563,0.7154576403097661,0.7315492848168565,0.7076261784463286
top_k_25,10.0,0.5670099860643234,0.2736318126369878,0.2452829214266503,0.6421280635727776,0.6890850376199793,0.7818793736940342,0.6038948643271861,0.7124069606565638,0.7772912502738535,0.7188681122379094
top_k_25,12.0,0.6016252876777991,0.2991975236123023,0.2611802212563162,0.6520305052399635,0.6855641677975655,0.7529374624478972,0.6223160819873756,0.703323255732489,0.753279752701685,0.7079641382173617
top_k_25,13.0,0.5037964733756688,0.2535990169575216,0.2243938720692847,0.6394098401069641,0.7019791503747305,0.5380645252316328,0.5944595857199763,0.716689211118184,0.49510433555468,0.5860794144061182
top_k_25,14.0,0.6508620689655172,0.343042071197411,0.3523706896551724,0.6857381463050842,0.7316476106643677,0.8011413577804016,0.6175938233555761,0.6438927815092818,0.8510663801268198,0.7284235856930198
top_k_10,1.0,0.5765428453815715,0.2820908442286147,0.2534862616352438,0.6538577657479506,0.7057436319497915,0.7305872165695105,0.6267077687420348,0.7322889118913594,0.7081526935693822,0.6994341476930718
top_k_10,2.0,0.540648816799069,0.2684516047300885,0.238894010961026,0.6459392176734077,0.699951888455285,0.7350507216412794,0.6128855915575022,0.7412425211898682,0.7018990363169285,0.6977694676763946
top_k_10,3.0,0.5390458137707469,0.2716580013510675,0.2450976233277271,0.640304438273112,0.7165070017178853,0.7187439416849446,0.5818772731153071,0.7125098294230854,0.7058495905357761,0.6797451586897783
top_k_10,4.0,0.5472570302615274,0.2738210787219551,0.2432335521384227,0.6394744098186493,0.7132282465696335,0.6833081030607924,0.6318536771683692,0.7216349691029753,0.6601700498052738,0.6742416997843527
top_k_10,5.0,0.5074607945767842,0.2480559085285139,0.2305608318790958,0.6428963005542755,0.719519066810608,0.6782602900130928,0.5824258995277235,0.720088212211146,0.6340794837820862,0.6537134713835122
top_k_10,6.0,0.5637496821991889,0.2847231918545604,0.266614794153053,0.6602704657448663,0.7055608762635125,0.6955493607040436,0.6515947961762812,0.7114516726501028,0.6807664660485572,0.6848405738947462
top_k_10,7.0,0.5479874717248464,0.2746483378513874,0.2471891070895339,0.640292729650225,0.723057895898819,0.6812274391106437,0.6219893754164778,0.7316542715189266,0.6819324496243544,0.6792008839176006
top_k_10,8.0,0.5782751829272476,0.2856539672191545,0.2530407112763866,0.6513469318548838,0.7010105740332949,0.7580625228164518,0.6160068258755007,0.7394759402574089,0.739903270124017,0.7133621397683446
top_k_10,9.0,0.5746948316188043,0.2856032507266058,0.2587017142255736,0.6548764789476991,0.683817196637392,0.7133979896407852,0.616417926556055,0.7195967403185728,0.6991626725557127,0.6871438322677814
top_k_10,10.0,0.5734084336199702,0.2821632403281462,0.2477786898916109,0.6458998057577345,0.6921566989686754,0.835032463909058,0.5835240966802877,0.7259393931875268,0.8106563838717091,0.7387880844121454
top_k_10,12.0,0.5971837918894854,0.3000985156092258,0.2707024697462485,0.6516658961772919,0.68846595287323,0.6543647452737329,0.633318583619609,0.7349084503645142,0.6606163087327802,0.6708020219976591
top_k_10,13.0,0.4763007079168788,0.2420569249280334,0.2117648120206512,0.632521520058314,0.6945555408795675,0.568761595155071,0.6071838774987954,0.7456923650513966,0.5428638334532904,0.6161254177896384
top_k_10,14.0,0.6150367439231204,0.3237125070741369,0.3120407009609949,0.6872475147247314,0.8070859313011169,0.900519212012728,0.6484260785024241,0.789238763343174,0.8760532015227449,0.8035593138452678
top_k_75,1.0,0.5753725062528108,0.2794166435467703,0.253423108253488,0.6515484282603631,0.6983023840647478,0.7526242245867046,0.6138736683251128,0.7245369815766695,0.7240079703767534,0.70376071121631
