Model Name,partyWinning,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
conservative,1.0,0.5352240265676441,0.2644762534577931,0.2333299156828428,0.6409666524806493,0.6854769639565911,0.665842599930325,0.612185643160011,0.7261619254538052,0.635298439443678,0.6598721519969549
mixed_liberal_75,0.0,0.5606468345034741,0.2707705613890198,0.2378902117620089,0.646415863186121,0.6884403002137939,0.6819840903382492,0.626750056521397,0.702411612352959,0.6662783725465643,0.6693560329397924
mixed_liberal_75,1.0,0.5654930197055615,0.2771639405125778,0.2369226420184716,0.6412282639825848,0.6860298121479196,0.6939468923961262,0.6165011609311153,0.706501962833745,0.6742791232982567,0.6728072848648108
top_p_0.4,0.0,0.5498339371807034,0.2698612266310974,0.2470016896304278,0.6517987279221416,0.703961327051123,0.7282490005648646,0.6209958580061192,0.7347326514008895,0.6840477745097472,0.6920063211204052
top_p_0.4,1.0,0.5466935464376893,0.2734597933118116,0.2451578901192467,0.646891266863111,0.6982672527642317,0.6878229030844171,0.6178912694716132,0.7340181663208714,0.6492985597490005,0.6722577246564755
top_p_0.7,0.0,0.559613028822033,0.2757241659700941,0.2502317264527828,0.6526976736883322,0.7031849663083752,0.7149067277779211,0.6201124867690497,0.739498687231246,0.6893092426918689,0.6909567861175215
top_p_0.7,1.0,0.5602660614382446,0.2798245100010231,0.2498139428486425,0.6483558773994446,0.7009737150769838,0.6923161131420661,0.6118060386133675,0.7315622412282744,0.6614637139801164,0.6742870267409561
top_p_0.6,0.0,0.5489376839609378,0.271078964032772,0.2480980474624175,0.6511779070521394,0.7033128330173591,0.6785567377403309,0.6186971301429719,0.7356976925684183,0.6562876892722267,0.6723098124309869
top_p_0.6,1.0,0.5616314846027706,0.280841977817673,0.2484368416880381,0.6482625528120659,0.700176897351171,0.698405144166401,0.6132125805645966,0.7411019369689731,0.668973151802877,0.6804232033757119
top_p_0.1,0.0,0.5509488025955395,0.2702205724586731,0.2489816647736474,0.6505913647512594,0.7027634236340722,0.7026958079133498,0.6192984848007648,0.7318111897652954,0.6732852015351614,0.6817726710036429
top_p_0.1,1.0,0.5537262186712018,0.2759037687923713,0.2462927149140794,0.6469999415773741,0.6990732326473988,0.68418346646303,0.613836439947701,0.7336984775993,0.6490393079614778,0.6701894229928772
top_p_0.3,0.0,0.5542520604244822,0.273401073141907,0.2498577596574757,0.6506541082635522,0.6998441483204564,0.7250891664212672,0.6185064192808655,0.7318975004525387,0.7012167587968318,0.6941774612378758
top_p_0.3,1.0,0.554142627566627,0.2764790821793552,0.2472564236911561,0.6467922472617995,0.6990443466414868,0.6858416647700689,0.6133536428902848,0.7313390030412568,0.6524213725797704,0.6707389208203453
top_p_0.5,0.0,0.5477846418910488,0.2695805096346142,0.246103845513645,0.6505342035864791,0.7015345809049904,0.6827328260756585,0.6254522665683925,0.7381997186866524,0.6553178886102494,0.6754256749852382
top_p_0.5,1.0,0.55338590343391,0.2749963423712903,0.2461050440505551,0.6477664207068967,0.6987652107023857,0.6989802249689147,0.615885737237205,0.7301553702499264,0.6702836358229998,0.6788262420697614
top_p_0.9,0.0,0.5613561571934108,0.2758540176081763,0.2516233410595702,0.6519154626876116,0.7050832724198699,0.7253564978180959,0.6152398221899983,0.7334973041394867,0.6984133062301049,0.6931267325944215
top_p_0.9,1.0,0.551317787856902,0.2737679770949767,0.2457271504646244,0.6482412229121571,0.699766473535081,0.7051484649463754,0.6193324918938624,0.7284579272946263,0.6775481501894404,0.6826217585810761
top_p_0.8,0.0,0.5549853966567732,0.2708420381994188,0.2475676496703571,0.6507540342087547,0.7011186741292477,0.7126836771441437,0.6194279674564306,0.7297254439465627,0.6849355124828764,0.6866931502575033
top_p_0.8,1.0,0.5578293832369612,0.2778256380819632,0.2490942311799371,0.6471746657935666,0.7002283087918456,0.677116152039898,0.6100076438937456,0.7303327715353101,0.6522797482640044,0.6674340789332395
top_p_0.2,0.0,0.5525071173458046,0.2701257048128413,0.2491939333568702,0.6508085196837783,0.6996572455391288,0.7143697851304007,0.6185886913942515,0.7344755116190221,0.6856033118438023,0.6882593249968693
top_p_0.2,1.0,0.5559576752023433,0.2762785639402934,0.2467852139383284,0.6469792248497547,0.6996356414237492,0.6900841325223418,0.6129729591090483,0.7327162886337416,0.6534946472693033,0.6723170068836087
LongT5_BASE,0.0,0.5007106669750623,0.2110514879994246,0.1980188366078777,0.6064322150001923,0.6493079106633862,0.2301087857279307,0.571760009991911,0.6969514835579744,0.2430737470462725,0.4354735065810222
LongT5_BASE,1.0,0.4989099261458489,0.2145547040181848,0.193248193860373,0.6027938962822229,0.6484376608485907,0.2398765850489553,0.547092857419716,0.6994965302084806,0.2565353076273675,0.4357503200761299
